ID;event;event_number;mp;Source;lineupcat_id;event_number_new
ICME_BEPI_MOESTL_20200723_01;1;7;4;;MULTI_2020-07-19_01;110
ICME_Wind_MOESTL_20200724_01;1;7;4;-;MULTI_2020-07-19_01;110
HCME_A__20200816_01;0;8;0;S30E30;MULTI_2020-08-16_01;109
2020-08-16T18:24:00-CME-001;3;8;0;S30E30;MULTI_2020-08-16_01;109
ICME_STEREO_A_MOESTL_20200819_01;1;8;0;S30E30;MULTI_2020-08-16_01;109
HCME_A__20200908_01;0;9;0;N00W40;MULTI_2020-09-07_01;108
2020-09-07T18:48:00-CME-001;3;9;0;N00W40;MULTI_2020-09-07_01;108
ICME_PSP_MOESTL_20200912_01;1;9;0;N00W40;MULTI_2020-09-07_01;108
HCME_A__20200930_01;0;10;0;-;MULTI_2020-09-30_01;107
ICME_Wind_MOESTL_20201005_01;1;10;0;-;MULTI_2020-09-30_01;107
HCME_A__20201006_01;0;11;0;-;MULTI_2020-10-06_01;106
2020-10-06T06:24:00-CME-001;3;11;0;-;MULTI_2020-10-06_01;106
ICME_BEPI_MOESTL_20201008_01;1;11;0;-;MULTI_2020-10-06_01;106
HCME_A__20201007_01;0;12;0;;MULTI_2020-10-07_01;105
ICME_BEPI_MOESTL_20201010_01;1;12;0;-;MULTI_2020-10-07_01;105
HCME_A__20201026_01;0;13;0;-;MULTI_2020-10-26_01;104
2020-10-27T03:39:00-CME-001;3;13;0;-;MULTI_2020-10-26_01;104
ICME_Wind_MOESTL_20201101_01;1;13;0;-;MULTI_2020-10-26_01;104
2020-11-29T13:24:00-CME-001;3;14;0;S23E97;MULTI_2020-11-29_01;103
ICME_PSP_MOESTL_20201201_01;1;14;5;S23E97;MULTI_2020-11-29_01;103
ICME_STEREO_A_MOESTL_20201201_01;1;14;5;S23E97;MULTI_2020-11-29_01;103
HCME_A__20201129_01;0;15;0;N35E30;MULTI_2020-11-29_02;102
HCME_A__20201201_01;0;15;0;N35E30;MULTI_2020-11-29_02;102
2020-12-01T07:12:00-CME-001;3;15;0;N35E30;MULTI_2020-11-29_02;102
ICME_STEREO_A_MOESTL_20201203_01;1;15;0;N35E30;MULTI_2020-11-29_02;102
HCME_A__20210211_01;0;16;0;-;MULTI_2021-02-11_01;101
ICME_Wind_MOESTL_20210215_01;1;16;0;-;MULTI_2021-02-11_01;101
HCME_A__20210220_01;0;17;0;-;MULTI_2021-02-20_01;100
2021-02-21T01:48:00-CME-001;3;17;0;-;MULTI_2021-02-20_01;100
ICME_STEREO_A_MOESTL_20210223_01;1;17;6;-;MULTI_2021-02-20_01;100
ICME_Wind_MOESTL_20210224_01;1;17;6;-;MULTI_2021-02-20_01;100
HCME_A__20210322_01;0;18;0;-;MULTI_2021-03-22_01;99
ICME_Wind_MOESTL_20210326_01;1;18;0;-;MULTI_2021-03-22_01;99
HCME_A__20210331_01;0;19;0;-;MULTI_2021-03-31_01;98
2021-03-30T17:38:00-CME-001;3;19;0;-;MULTI_2021-03-31_01;98
ICME_Wind_MOESTL_20210404_01;1;19;7;-;MULTI_2021-03-31_01;98
ICME_STEREO_A_MOESTL_20210406_01;1;19;7;-;MULTI_2021-03-31_01;98
HCME_A__20210410_01;0;20;0;-;MULTI_2021-04-10_01;97
2021-04-10T06:53:00-CME-001;3;20;0;-;MULTI_2021-04-10_01;97
ICME_Wind_MOESTL_20210415_01;1;20;0;-;MULTI_2021-04-10_01;97
HCME_A__20210425_01;0;21;0;S24W45;MULTI_2021-04-25_01;96
