ID;event;event_number;mp;Source;lineupcat_id;event_number_old;event_number_new
ICME_Wind_MOESTL_20221107_01;1;75;0;-;MULTI_2022-11-03_01;42;73
HCME_A__20221114_01;0;76;0;-;MULTI_2022-11-14_01;41;72
ICME_Wind_MOESTL_20221119_01;1;76;0;-;MULTI_2022-11-14_01;41;72
2022-12-24T02:48:00-CME-001;3;77;0;N20E28;MULTI_2022-12-24_01;40;71
ICME_SOLO_MOESTL_20221226_01;1;77;27;N20E28;MULTI_2022-12-24_01;40;71
ICME_STEREO_A_MOESTL_20221226_01;1;77;27;N20E28;MULTI_2022-12-24_01;40;71
HCME_A__20221231_01;0;78;0;N18E08;MULTI_2022-12-30_01;39;70
2022-12-30T16:53:00-CME-001;3;78;0;N18E08;MULTI_2022-12-30_01;39;70
ICME_Wind_MOESTL_20230103_01;1;78;28;N18E08;MULTI_2022-12-30_01;39;70
ICME_STEREO_A_MOESTL_20230104_01;1;78;28;N18E08;MULTI_2022-12-30_01;39;70
HCME_A__20230124_01;0;79;0;-;MULTI_2023-01-24_01;38;69
ICME_BEPI_MOESTL_20230125_01;1;79;0;-;MULTI_2023-01-24_01;38;69
2023-02-18T02:48:00-CME-001;3;80;29;;MULTI_2023-02-18_01;37;68
ICME_BEPI_MOESTL_20230218_02;1;80;29;;MULTI_2023-02-18_01;37;68
ICME_PSP_MOESTL_20230219_01;1;80;29;;MULTI_2023-02-18_01;37;68
HCME_A__20230313_01;0;81;0;-;MULTI_2023-03-13_01;36;67
2023-03-13T03:36:00-CME-001;3;81;0;-;MULTI_2023-03-13_01;36;67
ICME_PSP_MOESTL_20230313_01;1;81;0;-;MULTI_2023-03-13_01;36;67
2023-03-12T19:24:00-CME-001;3;82;0;S25E20;MULTI_2023-03-12_01;35;66
ICME_BEPI_MOESTL_20230313_01;1;82;30;S25E20;MULTI_2023-03-12_01;35;66
ICME_SOLO_MOESTL_20230314_01;1;82;30;S25E20;MULTI_2023-03-12_01;35;66
ICME_STEREO_A_MOESTL_20230315_01;1;82;30;S25E20;MULTI_2023-03-12_01;35;66
ICME_Wind_MOESTL_20230315_01;1;82;30;S25E20;MULTI_2023-03-12_01;35;66
ICME_SOLO_MOESTL_20230321_01;1;83;31;-;MULTI_2023-03-21_01;34;65
ICME_STEREO_A_WEILER_20230322_01;1;83;31;-;MULTI_2023-03-21_01;34;65
ICME_Wind_MOESTL_20230323_01;1;83;31;-;MULTI_2023-03-21_01;34;65
HCME_A__20230416_01;0;84;0;-;MULTI_2023-04-16_01;33;64
ICME_Wind_WEILER_20230418_01;1;84;32;-;MULTI_2023-04-16_01;33;64
ICME_STEREO_A_WEILER_20230420_01;1;84;32;-;MULTI_2023-04-16_01;33;64
HCME_A__20230421_02;0;85;0;S21W12;MULTI_2023-04-21_01;32;63
2023-04-21T18:12:00-CME-001;3;85;0;S21W12;MULTI_2023-04-21_01;32;63
ICME_BEPI_MOESTL_20230422_01;1;85;33;S21W12;MULTI_2023-04-21_01;32;63
ICME_STEREO_A_WEILER_20230423_01;1;85;33;S21W12;MULTI_2023-04-21_01;32;63
ICME_Wind_WEILER_20230423_01;1;85;33;S21W12;MULTI_2023-04-21_01;32;63
HCME_A__20230428_01;0;86;0;S20W90;MULTI_2023-04-28_01;31;62
2023-04-28T11:11:00-CME-001;3;86;0;S20W90;MULTI_2023-04-28_01;31;62
ICME_PSP_MOESTL_20230430_01;1;86;0;S20W90;MULTI_2023-04-28_01;31;62
HCME_A__20230501_01;0;87;0;-;MULTI_2023-05-01_01;30;61
ICME_SOLO_MOESTL_20230502_01;1;87;0;-;MULTI_2023-05-01_01;30;61
HCME_A__20230508_01;0;88;0;N17W07;MULTI_2023-05-07_01;29;60
2023-05-07T23:12:00-CME-001;3;88;0;N17W07;MULTI_2023-05-07_01;29;60
ICME_BEPI_MOESTL_20230509_01;1;88;0;N17W07;MULTI_2023-05-07_01;29;60
HCME_A__20230513_01;0;89;0;N15W76;MULTI_2023-05-13_01;28;59
2023-05-13T00:12:00-CME-001;3;89;0;N15W76;MULTI_2023-05-13_01;28;59
ICME_PSP_MOESTL_20230515_01;1;89;0;N15W76;MULTI_2023-05-13_01;28;59
HCME_A__20230516_01;0;90;0;-;MULTI_2023-05-16_01;27;58
2023-05-16T17:48:00-CME-001;3;90;0;-;MULTI_2023-05-16_01;27;58
ICME_PSP_MOESTL_20230518_01;1;90;0;-;MULTI_2023-05-16_01;27;58
HCME_A__20230609_01;0;91;0;S15W80;MULTI_2023-06-08_01;26;57
2023-06-08T21:12:00-CME-001;3;91;0;S15W80;MULTI_2023-06-08_01;26;57
ICME_BEPI_MOESTL_20230610_01;1;91;34;S15W80;MULTI_2023-06-08_01;26;57
ICME_PSP_MOESTL_20230611_01;1;91;34;S15W80;MULTI_2023-06-08_01;26;57
HCME_A__20230624_01;0;92;0;-;MULTI_2023-06-24_01;25;56
ICME_SOLO_MOESTL_20230626_01;1;92;0;-;MULTI_2023-06-24_01;25;56
HCME_A__20230710_01;0;93;0;S13W49;MULTI_2023-07-10_01;24;55
2023-07-10T04:00:00-CME-001;3;93;0;S13W49;MULTI_2023-07-10_01;24;55
ICME_PSP_MOESTL_20230711_01;1;93;0;S13W49;MULTI_2023-07-10_01;24;55
HCME_A__20230712_01;0;94;0;S35E05;MULTI_2023-07-11_01;23;54
2023-07-11T19:24:00-CME-001;3;94;0;S35E05;MULTI_2023-07-11_01;23;54
ICME_STEREO_A_WEILER_20230714_01;1;94;0;S35E05;MULTI_2023-07-11_01;23;54
HCME_A__20230714_01;0;95;0;S23W25;MULTI_2023-07-14_01;22;53
2023-07-14T10:18:00-CME-001;3;95;0;S23W25;MULTI_2023-07-14_01;22;53
ICME_PSP_MOESTL_20230716_01;1;95;35;S23W25;MULTI_2023-07-14_01;22;53
ICME_STEREO_A_WEILER_20230716_01;1;95;35;S23W25;MULTI_2023-07-14_01;22;53
HCME_A__20230718_01;0;96;0;S25W73;MULTI_2023-07-17_01;21;52
2023-07-17T23:36:00-CME-001;3;96;0;S25W73;MULTI_2023-07-17_01;21;52
ICME_PSP_MOESTL_20230719_01;1;96;0;S25W73;MULTI_2023-07-17_01;21;52
HCME_A__20230722_01;0;97;0;-;MULTI_2023-07-22_01;20;51
2023-07-22T05:00:00-CME-001;3;97;0;-;MULTI_2023-07-22_01;20;51
ICME_SOLO_MOESTL_20230724_01;1;97;0;-;MULTI_2023-07-22_01;20;51
HCME_A__20230723_01;0;98;0;N23W33;MULTI_2023-07-23_01;19;50
2023-07-23T15:05:00-CME-001;3;98;0;N23W33;MULTI_2023-07-23_01;19;50
ICME_PSP_MOESTL_20230725_01;1;98;0;N23W33;MULTI_2023-07-23_01;19;50
HCME_A__20230727_01;0;99;0;-;MULTI_2023-07-27_01;18;49
ICME_STEREO_A_WEILER_20230801_01;1;99;36;-;MULTI_2023-07-27_01;18;49
ICME_Wind_MOESTL_20230801_01;1;99;36;-;MULTI_2023-07-27_01;18;49
